smiles,target
FCCOC(F)(F)F,1
C[N+](C)(CCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(O)=O,2
NC1=C(F)C(Cl)=C(OC(F)(F)C(F)C(F)(F)F)C(Cl)=C1,4
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(O)=O,5
OC(=O)C(F)(F)OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)Cl)C(F)(F)F,6
CCCCCCCC\C=C\CCCCCCCC(=O)OCC(F)(F)C(F)(F)C(F)(F)F,7
FC(F)(F)C=C(Cl)C(F)(F)Cl,9
OC(=O)\C=C(/F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10
FCCC(F)Cl,11
FCC(F)(Cl)C(F)F,12
C[N+](C)(C)CCCNS(=O)(=O)C1=CC=C(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)=C(F)F)C=C1,13
[O-][NH+](C(F)(F)F)C(F)(F)C(F)(F)[NH+]([O-])C(F)(F)F,14
FC1(F)C(F)(F)[C@@]2(F)[C@](F)(C1(F)F)C(F)(F)C(F)(F)C(F)(F)C2(F)F,15
F\C(\C(\F)=C(\F)C(F)(F)F)=C(/F)C(F)(F)F,16
FC(F)(F)C(C1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F)(C(F)(F)F)C(F)(F)F,17
OS(=O)(=O)C(F)(F)C(F)=C(F)C(F)(F)F,19
OC(=O)C(F)(F)OC(F)(F)C(F)=C(F)C(F)(F)F,20
OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(F)(F)(F)(F)F,21
C[N+](C)(CCO)CC(O)C[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,22
FC(F)=C(F)OC(F)(F)C(F)(F)C(F)(F)S(F)(=O)=O,23
OCC(SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(CO)SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,24
[O-][N+](=O)C1=CC(=C(OC2=CC=C(C=NNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C2)C=C1)[N+]([O-])=O,26
C[N+](C)(CCO)CCC[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,27
F[C@H]1[C@@H](F)C(F)(F)C(F)(F)C1(F)F,28
CCOC(=O)OCC(F)(F)C(F)(F)C(F)(F)F,29
